Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.74-35.223.238.178-54783-443-6,192.168.1.74,54783,35.223.238.178,443,6,08/04/2025 11:38:27 ����,105195400,10,8,1239.0,521.0,821.0,0.0,123.89999999999999,276.94341580105413,268.0,0.0,65.125,120.65468731644275,16.730769596389194,0.17111014359943494,6187964.705882353,7563601.782897217,1.5001274E7,139.0,1.05194955E8,1.1688328333333334E7,6488011.838642771,1.5001433E7,223523.0,7.5236248E7,1.074803542857143E7,1.1256031485473448E7,3.0001963E7,1087.0,0,0,0,0,200,160,0.09506119088857497,0.07604895271085997,0.0,821.0,92.63157894736841,212.9935342071094,45366.245614035084,0,0,0,4,18,0,0,0,0.0,97.77777777777777,123.9,65.125,0,0,0,1754,4,3897,1,177,1,74,64240,64240,8,20,122721.5,245139.00017269113,490430.0,139.0,1.4957724142857142E7,79740.60206575772,1.5001274E7,1.478234E7,NeedManualLabel
192.168.1.74-35.223.238.178-64647-443-6,192.168.1.74,64647,35.223.238.178,443,6,08/04/2025 11:38:29 ����,119998106,16,16,3519.0,2129.0,1460.0,0.0,219.9375,363.69831247890056,1420.0,0.0,133.0625,359.6868024175106,47.06740954728068,0.2666708756219869,3870906.64516129,6586475.032890753,1.5001236E7,0.0,1.19997851E8,7999856.733333332,7587801.004820364,1.5001236E7,0.0,1.19997914E8,7999860.933333333,1.1043178760083953E7,3.0002515E7,0.0,1,0,0,0,320,320,0.13333543781099344,0.13333543781099344,0.0,1460.0,179.99999999999994,353.4685275947493,124940.00000000001,0,0,0,11,32,0,0,0,1.0,185.625,219.9375,133.0625,0,0,0,2562,5,4532,2,439,2,266,62912,64240,13,20,195276.66666666666,317933.2360252175,741326.0,140.0,1.485326175E7,270460.62617518177,1.5001236E7,1.4295804E7,NeedManualLabel
192.168.1.74-192.168.1.2-137-137-17,192.168.1.74,137,192.168.1.2,137,17,08/04/2025 11:38:33 ����,118500179,3,0,204.0,0.0,68.0,68.0,68.0,0.0,0,0,0,0,1.7215163869077361,0.025316417454525533,5.92500895E7,8.167073352499008E7,1.17000019E8,1500160.0,1.18500179E8,5.92500895E7,8.167073352499008E7,1.17000019E8,1500160.0,0,0,0,0,0,0,0,0,0,24,0,0.025316417454525533,0.0,68.0,68.0,68.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,90.66666666666667,68.0,0.0,0,0,0,0,0,0,1,102,0,0,0,0,2,8,1500160.0,0.0,1500160.0,1500160.0,1.17000019E8,0.0,1.17000019E8,1.17000019E8,NeedManualLabel
192.168.1.74-114.237.67.186-55842-443-6,192.168.1.74,55842,114.237.67.186,443,6,08/04/2025 11:38:19 ����,90002526,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03333239780403496,0.06666479560806993,1.80005052E7,2.464745237551767E7,4.5000676E7,158.0,9.0001939E7,4.50009695E7,191.6259377015544,4.5001105E7,4.5000834E7,9.0002368E7,4.5001184E7,565.685424949238,4.5001584E7,4.5000784E7,0,0,0,0,60,60,0.03333239780403496,0.03333239780403496,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,63618,64240,2,20,533.0,530.3300858899106,908.0,158.0,4.50004365E7,338.70414818835627,4.5000676E7,4.5000197E7,NeedManualLabel
192.168.1.74-239.255.255.250-54886-1900-17,192.168.1.74,54886,239.255.255.250,1900,17,08/04/2025 11:26:32 ����,15007854,6,0,822.0,0.0,137.0,137.0,137.0,0.0,0,0,0,0,54.77132173593906,0.3997906696053946,3001570.8,1310.493304065305,3003872.0,3000667.0,1.5007854E7,3001570.8,1310.493304065305,3003872.0,3000667.0,0,0,0,0,0,0,0,0,0,48,0,0.3997906696053946,0.0,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,159.83333333333334,137.0,0.0,0,0,0,0,0,0,1,164,0,0,0,0,5,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-224.0.0.22-0-0-0,192.168.1.74,0,224.0.0.22,0,0,08/04/2025 11:26:32 ����,491231,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.178510721025344,122807.75,242091.86658425763,485937.0,530.0,491231.0,122807.75,242091.86658425763,485937.0,530.0,0,0,0,0,0,0,0,0,0,0,0,10.178510721025344,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-224.0.0.251-5353-5353-17,192.168.1.74,5353,224.0.0.251,5353,17,08/04/2025 11:26:32 ����,450,2,0,116.0,0.0,77.0,39.0,58.0,26.870057685088806,0,0,0,0,257777.77777777778,4444.444444444444,450.0,0.0,450.0,450.0,450.0,450.0,0.0,450.0,450.0,0,0,0,0,0,0,0,0,0,16,0,4444.444444444444,0.0,39.0,77.0,51.666666666666664,21.939310229205777,481.3333333333333,0,0,0,0,0,0,0,0,0.0,77.5,58.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-52.168.112.66-50381-443-6,192.168.1.74,50381,52.168.112.66,443,6,08/04/2025 11:39:00 ����,97451629,24,28,11483.0,502.0,1460.0,0.0,478.4583333333333,610.8000440738193,99.0,0.0,17.92857142857143,34.76900340653436,122.98409090729515,0.5335980581709927,1910816.2549019612,6721594.25054518,3.0294851E7,0.0,9.745091E7,4236996.0869565215,9611642.671186397,3.0295073E7,0.0,9.7451321E7,3609308.1851851856,8973650.139177663,3.029557E7,0.0,1,0,0,0,480,560,0.24627602684815048,0.28732203132284223,0.0,1460.0,228.24528301886807,467.5632785500547,218615.41944847602,1,0,1,22,51,0,0,0,1.0,232.6346153846154,478.4583333333333,17.928571428571427,0,0,0,2996,6,4088,6,2870,7,125,63046,32767,19,20,733193.25,179889.45482967218,926715.0,565832.0,2.362953425E7,8377563.352347284,3.0294851E7,1.1965288E7,NeedManualLabel
192.168.1.74-52.98.65.2-51677-443-6,192.168.1.74,51677,52.98.65.2,443,6,08/04/2025 11:39:25 ����,71822945,3,3,2.0,0.0,1.0,0.0,0.6666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,0.027846254424682807,0.08353876327404842,1.4364589E7,2.069269970612374E7,4.5000316E7,117.0,7.1822797E7,3.59113985E7,1.2853915054736456E7,4.5000489E7,2.6822308E7,7.1822772E7,3.5911386E7,1.2853853536446493E7,4.5000433E7,2.6822339E7,0,0,0,0,60,60,0.04176938163702421,0.04176938163702421,0.0,1.0,0.4285714285714286,0.5345224838248487,0.28571428571428564,1,0,1,0,5,0,0,0,1.0,0.5,0.6666666666666666,0.0,0,0,0,0,0,0,1,1,1,0,64209,32767,1,20,145.0,39.59797974644666,173.0,117.0,3.59112535E7,1.285387545675671E7,4.5000316E7,2.6822191E7,NeedManualLabel
192.168.1.74-40.100.55.2-55301-443-6,192.168.1.74,55301,40.100.55.2,443,6,08/04/2025 11:39:26 ����,70750195,3,3,2.0,0.0,1.0,0.0,0.6666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,0.028268473323642428,0.08480541997092728,1.4150039E7,2.0535994442795094E7,4.5000488E7,138.0,7.0749305E7,3.53746525E7,1.361318227474401E7,4.5000626E7,2.5748679E7,7.0750057E7,3.53750285E7,1.3612787709160108E7,4.5000723E7,2.5749334E7,0,0,0,0,60,60,0.04240270998546364,0.04240270998546364,0.0,1.0,0.4285714285714286,0.5345224838248487,0.28571428571428564,1,0,1,0,5,0,0,0,1.0,0.5,0.6666666666666666,0.0,0,0,0,0,0,0,1,1,1,0,62912,32767,1,20,186.5,68.58935777509511,235.0,138.0,3.5374466E7,1.3613250864101784E7,4.5000488E7,2.5748444E7,NeedManualLabel
