Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.74-114.237.67.186-55842-443-6,192.168.1.74,55842,114.237.67.186,443,6,08/04/2025 11:15:49 下午,90002289,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03333248557711682,0.06666497115423364,1.80004578E7,2.464795070976956E7,4.5000989E7,136.0,9.0002147E7,4.50010735E7,79.90306627407988,4.500113E7,4.5001017E7,9.0002153E7,4.50010765E7,77.07463914933368,4.5001131E7,4.5001022E7,0,0,0,0,60,60,0.03333248557711682,0.03333248557711682,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,63618,64240,2,20,138.5,3.5355339059327378,141.0,136.0,4.5000935E7,76.36753236814714,4.5000989E7,4.5000881E7,NeedManualLabel
192.168.1.74-35.223.238.178-59484-443-6,192.168.1.74,59484,35.223.238.178,443,6,08/04/2025 11:18:21 下午,616594,6,10,1021.0,3607.0,517.0,0.0,170.16666666666666,263.6531180674082,1460.0,0.0,360.7,588.3355146324058,7505.74932613681,25.94900372043841,41106.26666666668,82872.61673751957,202674.0,0.0,616284.0,123256.8,111928.88558231964,213549.0,342.0,416197.0,46244.11111111112,88099.11377738774,202674.0,0.0,0,0,0,0,132,204,9.730876395164403,16.218127325274004,0.0,1460.0,272.2352941176471,479.4328067377853,229855.8161764706,1,2,0,7,15,0,0,0,1.0,289.25,170.16666666666666,360.7,0,0,0,4628,8,11132,0,0,0,0,64240,64240,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-59484-443-6,192.168.1.74,59484,35.223.238.178,443,6,08/04/2025 11:18:22 下午,507,4,1,24.0,0.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,47337.27810650888,9861.932938856016,126.75,108.26626128823943,271.0,43.0,507.0,169.0,93.6162379077476,271.0,87.0,0,0,0,0,0,0,0,0,0,80,20,7889.546351084813,1972.3865877712033,0.0,24.0,4.0,9.797958971132712,96.0,1,0,1,1,5,0,0,0,0.0,4.8,6.0,0.0,0,0,0,0,0,0,0,0,0,0,63810,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-56661-443-6,192.168.1.74,56661,35.223.238.178,443,6,08/04/2025 11:16:27 下午,119968789,14,32,1216.0,33894.0,412.0,0.0,86.85714285714286,171.6148895919883,1460.0,0.0,1059.1874999999998,606.7522445696617,292.6594516178704,0.383433061077244,2665973.088888889,5702657.8018644,1.5000674E7,0.0,1.19742787E8,9210983.615384616,7347176.08996422,1.5000674E7,1202.0,1.19967665E8,3869924.6774193547,8539703.479974775,3.0001603E7,0.0,1,0,0,0,280,640,0.11669701858872644,0.26673604248851757,0.0,1460.0,755.2340425531916,677.9508194541254,459617.31359852006,0,0,0,10,46,0,0,0,2.0,771.6521739130435,86.85714285714286,1059.1875,0,0,0,16887,12,160003,1,135,3,3766,64240,64240,8,20,250211.33333333334,495550.8551358444,1239033.0,130.0,1.4780189875E7,522150.8417578304,1.5000674E7,1.3502058E7,NeedManualLabel
192.168.1.74-35.223.238.178-59653-443-6,192.168.1.74,59653,35.223.238.178,443,6,08/04/2025 11:18:35 下午,643583,5,8,1406.0,3622.0,889.0,0.0,281.2,406.8915088816674,1460.0,0.0,452.75,621.4822718997817,7812.512139071418,20.19941483849014,53631.91666666667,96446.20051468952,216332.0,0.0,426375.0,106593.75,122389.92434939242,213365.0,398.0,431879.0,61696.99999999999,104382.06565306129,216332.0,0.0,0,0,0,0,112,164,7.769005707111592,12.430409131378548,0.0,1460.0,359.14285714285717,525.8971612167385,276567.8241758242,1,2,0,6,12,0,0,0,1.0,386.7692307692308,281.2,452.75,0,0,0,5028,7,11655,0,0,0,0,64240,64240,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-62909-443-6,192.168.1.74,62909,35.223.238.178,443,6,08/04/2025 11:16:59 下午,105586599,16,16,3226.0,3287.0,1460.0,0.0,201.625,367.1134020980439,1460.0,0.0,205.4375,487.90326483159885,61.68396426898833,0.3030687634895788,3406019.322580646,6294958.905513922,1.5001814E7,0.0,1.05586599E8,7039106.6,7583999.601117443,1.5001814E7,0.0,9.0585922E7,6039061.466666667,9364180.218492867,3.0001142E7,0.0,0,0,0,0,320,320,0.1515343817447894,0.1515343817447894,0.0,1460.0,197.39393939393943,419.531728492758,176006.87121212122,0,0,0,10,32,0,0,0,1.0,203.5625,201.625,205.4375,0,0,0,3253,6,4443,2,460,2,469,64240,64240,12,20,250870.66666666666,433876.66973630496,1057949.0,96.0,1.4868767857142856E7,211995.48884699433,1.5001814E7,1.4551036E7,NeedManualLabel
192.168.1.74-52.98.65.2-51677-443-6,192.168.1.74,51677,52.98.65.2,443,6,08/04/2025 11:16:55 下午,90000758,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03333305259495703,0.06666610518991406,1.80001516E7,2.464742553644377E7,4.5000374E7,112.0,9.0000637E7,4.50003185E7,236.88077169749343,4.5000486E7,4.5000151E7,9.0000646E7,4.5000323E7,663.2661607529816,4.5000792E7,4.4999854E7,0,0,0,0,60,60,0.03333305259495703,0.03333305259495703,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,64209,64240,2,20,265.0,216.37467504308356,418.0,112.0,4.50000535E7,453.255446740577,4.5000374E7,4.4999733E7,NeedManualLabel
192.168.1.74-40.100.55.2-55301-443-6,192.168.1.74,55301,40.100.55.2,443,6,08/04/2025 11:16:56 下午,90003120,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03333217781783565,0.0666643556356713,1.8000624E7,2.4648132199660577E7,4.5002349E7,124.0,9.0002996E7,4.5001498E7,1491.9953083036153,4.5002553E7,4.5000443E7,9.0002916E7,4.5001458E7,1531.593288050062,4.5002541E7,4.5000375E7,0,0,0,0,60,60,0.03333217781783565,0.03333217781783565,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,62912,64240,2,20,198.0,8.48528137423857,204.0,192.0,4.50013E7,1483.5100269293766,4.5002349E7,4.5000251E7,NeedManualLabel
192.168.1.74-35.223.238.178-60213-443-6,192.168.1.74,60213,35.223.238.178,443,6,08/04/2025 11:19:22 下午,856848,9,13,1045.0,3607.0,517.0,0.0,116.11111111111111,223.75904699276654,1420.0,0.0,277.46153846153845,518.0192427868253,5429.200978469927,25.675499038335854,40802.28571428572,85326.50173078869,217193.0,0.0,644560.0,80570.0,109503.54261979708,217557.0,186.0,646575.0,53881.24999999999,96068.90778179154,217193.0,0.0,0,0,0,0,192,264,10.503613242955575,15.171885795380277,0.0,1420.0,202.26086956521746,415.70829123221665,172813.38339920947,1,2,1,10,21,0,0,0,1.0,211.45454545454547,116.11111111111111,277.46153846153845,0,0,0,4652,10,10728,0,0,0,0,64240,64239,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.74-35.223.238.178-52439-443-6,192.168.1.74,52439,35.223.238.178,443,6,08/04/2025 11:17:29 下午,119999785,11,9,882.0,664.0,292.0,0.0,80.18181818181819,136.04324178864468,332.0,0.0,73.77777777777779,146.3982392122407,12.883356416013578,0.1666669652783128,6315778.157894737,7557140.619216014,1.5000559E7,148.0,1.19999532E8,1.1999953200000003E7,6199932.8893713355,1.5000755E7,237151.0,1.19999605E8,1.4999950625E7,1.1266260498727897E7,3.0001801E7,195500.0,1,0,0,0,220,180,0.09166683090307204,0.07500013437524075,0.0,332.0,87.52380952380952,141.5346667949655,20032.061904761904,0,0,0,5,20,0,0,0,0.0,91.9,80.18181818181819,73.77777777777777,0,0,0,0,0,0,1,110,1,83,62919,64240,8,20,79274.0,122420.81644066912,237486.0,148.0,1.4940486E7,87558.82351882097,1.5000559E7,1.4801191E7,NeedManualLabel
